id,date,ticker,open_price,high_price,low_price,close_price,volume,daily_return_pct,price_range,moving_avg_7,moving_avg_30,moving_avg_50,fetched_at
14815,2026-01-14,JIOFIN,281.95,287.85,281.85,287.0,6701056,0.8433,6.0,291.81,296.0,299.73,2026-04-25 22:37:17
14814,2026-01-13,JIOFIN,289.1,290.2,281.9,284.6,12956770,-1.2663,8.3,293.73,296.59,300.12,2026-04-25 22:37:17
14813,2026-01-12,JIOFIN,287.25,289.0,280.75,288.25,12216470,0.3481,8.25,296.17,297.26,300.57,2026-04-25 22:37:17
14812,2026-01-09,JIOFIN,292.0,294.6,286.15,287.25,11375540,-2.1461,8.45,297.24,297.86,301.0,2026-04-25 22:37:17
14811,2026-01-08,JIOFIN,303.3,304.3,292.15,293.55,12255990,-3.2784,12.15,298.34,298.5,301.45,2026-04-25 22:37:17
14810,2026-01-07,JIOFIN,298.0,306.0,296.65,303.5,20416850,1.658,9.35,298.19,298.98,301.74,2026-04-25 22:37:17
14809,2026-01-06,JIOFIN,300.1,302.3,293.5,298.55,10930690,-0.6158,8.8,296.82,298.89,301.78,2026-04-25 22:37:17
14808,2026-01-05,JIOFIN,301.8,302.45,298.85,300.4,6971528,-0.4309,3.6,296.59,298.94,301.93,2026-04-25 22:37:17
14807,2026-01-02,JIOFIN,295.6,303.0,295.5,301.7,10604970,2.0291,7.5,296.38,299.04,302.1,2026-04-25 22:37:17
14806,2026-01-01,JIOFIN,295.4,296.75,294.15,295.7,3697802,0.2543,2.6,295.95,299.26,302.3,2026-04-25 22:37:17
14805,2025-12-31,JIOFIN,292.6,296.9,292.6,294.95,6540400,0.8376,4.3,296.39,299.56,302.6,2026-04-25 22:37:17
14804,2025-12-30,JIOFIN,293.0,293.85,291.4,292.5,6850674,-0.4933,2.45,296.67,299.92,302.89,2026-04-25 22:37:17
14803,2025-12-29,JIOFIN,297.0,297.55,293.35,293.95,4713140,-1.0103,4.2,296.64,300.57,303.28,2026-04-25 22:37:17
14802,2025-12-26,JIOFIN,298.0,299.8,296.15,296.95,3945249,-0.6524,3.65,296.53,301.27,303.65,2026-04-25 22:37:17
14801,2025-12-24,JIOFIN,298.7,302.6,298.05,298.9,6548391,0.067,4.55,296.29,301.73,303.83,2026-04-25 22:37:17
14800,2025-12-23,JIOFIN,299.55,299.75,297.7,298.7,5346120,-0.0167,2.05,296.39,302.08,304.02,2026-04-25 22:37:17
14799,2025-12-22,JIOFIN,298.0,299.95,297.9,298.75,5136735,0.6062,2.05,296.68,302.29,304.21,2026-04-25 22:37:17
14798,2025-12-19,JIOFIN,294.1,297.8,293.35,296.95,8767177,1.5908,4.45,296.64,302.4,304.38,2026-04-25 22:37:17
14797,2025-12-18,JIOFIN,292.7,293.55,289.75,292.3,6478984,-0.29,3.8,295.76,302.47,304.53,2026-04-25 22:37:17
14796,2025-12-17,JIOFIN,295.0,296.0,291.7,293.15,5906902,-0.7113,4.3,295.89,302.67,304.88,2026-04-25 22:37:17
14795,2025-12-16,JIOFIN,298.05,298.75,294.5,295.25,7141463,-1.4519,4.25,296.47,302.96,305.15,2026-04-25 22:37:17
14794,2025-12-15,JIOFIN,299.0,300.4,297.55,299.6,4850351,-0.3824,2.85,297.69,303.34,305.28,2026-04-25 22:37:17
14793,2025-12-12,JIOFIN,300.0,302.4,298.75,300.75,7955711,0.7706,3.65,298.06,303.58,305.28,2026-04-25 22:37:17
14792,2025-12-11,JIOFIN,291.0,299.0,290.0,298.45,9589482,2.613,9.0,298.1,303.89,305.13,2026-04-25 22:37:17
